City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,tazovsky,67.4667,78.7,18.4,76,11,1.1,RU,1690421605
205,lebu,-37.6167,-73.65,8.61,85,86,0.28,CL,1690421494
206,codrington,-38.2667,141.9667,14.49,63,1,8.03,AU,1690421601
207,luderitz,-26.6481,15.1594,12.3,70,0,3.24,NA,1690421650
208,letterkenny,54.95,-7.7333,15.54,98,100,2.99,IE,1690421925
209,panacan,9.2463,118.4082,28.93,74,100,8.63,PH,1690421925
210,reggane,26.7158,0.1714,38.33,14,32,1.63,DZ,1690421610
211,slave lake,55.2834,-114.769,15.99,67,100,3.09,CA,1690421674
212,grande prairie,55.1667,-118.8027,16.1,77,100,7.2,CA,1690421908
213,harper,4.375,-7.7169,24.48,90,99,4.02,LR,1690421681
214,holualoa,19.6228,-155.9522,28.91,78,75,6.17,US,1690421558
215,selizharovo,56.8519,33.4487,11.69,95,79,1.25,RU,1690421926
216,sola,-13.8833,167.55,24.69,82,100,12.39,VU,1690421729
217,vuktyl,63.8567,57.3094,15.77,75,2,1.94,RU,1690421683
218,at-bashi,41.1702,75.8106,19.59,54,71,0.32,KG,1690421926
219,yanbu,24.0891,38.0637,32.02,74,0,4.12,SA,1690421927
220,acarau,-2.8856,-40.12,25.74,83,11,7.31,BR,1690421572
221,sitka,57.0531,-135.33,15.94,82,100,2.57,US,1690421565
222,fort mcmurray,56.7268,-111.381,15.77,82,100,3.6,CA,1690421656
223,sinabang,2.4803,96.3801,28.16,75,96,1.1,ID,1690421625
224,kourou,5.1552,-52.6478,25.03,86,72,2.66,GF,1690421575
225,queenstown,-31.8976,26.8753,9.45,88,55,1.8,ZA,1690421644
226,omamacho-omama,36.4333,139.2833,36.92,40,3,2.14,JP,1690421928
227,noumea,-22.2763,166.4572,22.78,99,33,7.5,NC,1690421410
228,brisas de zicatela,15.8369,-97.0419,30.29,58,75,0.0,MX,1690421569
229,yuzhno-kurilsk,44.0306,145.8556,21.75,78,100,2.15,RU,1690421585
230,kirensk,57.7853,108.1119,23.96,64,99,1.49,RU,1690421607
231,stutterheim,-32.5708,27.424,11.98,83,100,3.51,ZA,1690421928
232,tres arroyos,-38.3739,-60.2798,6.31,81,100,4.11,AR,1690421928
233,haiku-pauwela,20.9219,-156.3051,29.01,68,40,14.4,US,1690421577
234,olyokminsk,60.3736,120.4264,28.19,48,9,3.14,RU,1690421616
235,neiafu,-18.65,-173.9833,24.38,69,100,2.06,TO,1690421929
236,orcopampa,-15.2661,-72.3417,6.91,35,1,1.24,PE,1690421929
237,san pedro pochutla,15.7333,-96.4667,29.84,91,57,2.39,MX,1690421929
238,longyearbyen,78.2186,15.6401,9.91,71,75,1.03,SJ,1690421572
239,aldan,58.6031,125.3894,24.54,52,8,1.32,RU,1690421699
240,sinop,41.7711,34.8709,22.61,41,0,5.26,TR,1690421836
241,fortuna,40.5982,-124.1573,21.07,69,20,6.69,US,1690421556
242,portland,45.5234,-122.6762,29.2,34,40,6.69,US,1690421198
243,trairi,-3.2778,-39.2689,25.57,86,0,4.73,BR,1690421908
244,altai,46.3722,96.2583,20.66,22,59,0.86,MN,1690421749
245,barcelos,41.5388,-8.6151,19.95,95,3,2.13,PT,1690421585
246,riberalta,-10.9833,-66.1,24.09,50,42,1.06,BO,1690421536
247,gazojak,41.1875,61.4036,30.57,29,87,6.54,TM,1690421617
248,xique xique,-10.8217,-42.7311,23.62,56,31,4.81,BR,1690421931
249,tulua,4.0847,-76.1954,20.53,93,91,0.42,CO,1690421931
250,kudahuvadhoo,2.6708,72.8944,28.25,78,36,4.92,MV,1690421931
251,mach,29.8637,67.3298,26.96,73,3,0.15,PK,1690421931
252,al ghayzah,16.2079,52.176,24.56,91,62,4.5,YE,1690421684
253,nueve de julio,-35.4444,-60.8831,8.31,78,100,0.45,AR,1690421932
254,trevelin,-43.0858,-71.4639,2.71,93,100,0.84,AR,1690421932
